Item_Number,Assessment_Focus,Question_Prompt,Answer_A,Answer_B,Answer_C,Answer_D,Correct_Answer,CEFR_rating,Category
V29,Vocabulary,I need to fill up my car with _______ soon.,petrol,oil,water,gas,A,B1,Vocabulary
V30,Vocabulary,We need to _______ our meeting until Friday.,change,move,put,take,B,B1,Vocabulary
V31,Vocabulary,They had to _______ their picnic because of the rain.,cancel,begin,start,close,A,B1,Vocabulary
V32,Vocabulary,She finally _______ to swim in the deep end of the pool.,learned,knew,managed,did,C,B1,Vocabulary
V33,Vocabulary in Context,The busy shop was _____ with customers.,dressed,packed,covered,painted,B,B1,Vocabulary
V34,Connotation,The hotel room was _____ and comfortable.,polite,happy,cozy,healthy,C,B1,Vocabulary
V35,Word Family,She felt _____ after finishing the long race.,brown,yellow,exhausted,asleep,C,B1,Vocabulary
V36,Collocation,He needs to _____ more effort into his studies.,bring,put,do,push,B,B1,Vocabulary
V37,Vocabulary,The new rules have _______ many changes at school.,brought,made,done,given,A,B1,Vocabulary
V38,Phrasal Verb,She _____ down his suggestion without thinking about it.,sat,turned,walked,ran,B,B1,Vocabulary
V39,Precise Word Choice,He _____ his opinion during the class discussion.,painted,drew,expressed,built,C,B1,Vocabulary
V40,Vocabulary Discrimination,The restaurant became _____ during lunch hour.,locked,folded,dressed,packed,D,B1,Vocabulary
V41,Vocabulary Selection,The team needs to _____ their game plan.,paint,wash,adjust,fold,C,B2,Vocabulary
V42,Vocabulary Discrimination,He felt a sense of ______ after passing the exam.,disappointment,relief,anxiety,frustration,B,B2,Vocabulary
V43,Vocabulary in Context,The shop window _____ beautiful handmade jewelry.,carried,displayed,planted,dressed,B,B2,Vocabulary
V44,Vocabulary: academic word choice,The research findings _____ the theory that was proposed last year.,support,carry,recommend,keep,A,B2,Vocabulary
V45,Collocation: verb + noun,The new policy will help to _____ concerns about data privacy.,undergo,tell,address,talk,C,B2,Vocabulary
V46,Phrasal verb: figurative meaning,The deal _____ at the last minute due to disagreements.,fell through,broke through,came off,went off,A,B2,Vocabulary
V47,Vocabulary: register and formality,The manager asked employees to _____ from using personal devices during meetings.,mitigate,refrain,avoid,quit,B,B2,Vocabulary
V48,Vocabulary: precise word choice,The committee will _____ the budget proposal at next week's meeting.,circumvent,look,express,scrutinize,D,B2,Vocabulary
V49,Precise Word Choice,"The student's answer was ______, he missed the point.",accurate,irrelevant,correct,precise,B,C1,Vocabulary
V50,Vocabulary: nuanced meaning,The technology has become _____ in modern workplaces worldwide.,comprehensive,ambiguous,ubiquitous,frequent,C,C1,Vocabulary
V51,Collocation: fixed expression,The journalist's claims _____ doubt on the official report.,put,cast,developed,placed,B,C1,Vocabulary
V52,Vocabulary: idiomatic expression,Good internship opportunities are _____ in this competitive market.,small and distant,rare and scattered,few and far between,limited and separated,C,C1,Vocabulary
V53,Vocabulary: near-synonym distinction,The new regulations may _____ the problem rather than solve it.,enhance,exacerbate,alleviate,undergo,B,C1,Vocabulary
V54,Phrasal verb: abstract meaning,The study _____ the rise in housing prices over the past decade.,counts for,implements,accounts for,encourages,C,C1,Vocabulary
