Item_Number,Assessment_Focus,Question_Prompt,Answer_A,Answer_B,Answer_C,Answer_D,Correct_Answer,CEFR_rating,Category
G44,modal verbs (future/prediction),I wish I ____ more money.,had,have,will have,would have,A,B2,Grammar
G45,modal verbs (future/prediction),The children ______ (play) in the park when it started to rain.,played,were playing,have played,will play,B,B2,Grammar
G46,modal verbs (future/prediction),"If I were you, I ____ take that job.",would,will,am,was,A,B2,Grammar
G47,modal verbs (future/prediction),"If I see him, I ____ him your message.",will give,gave,would give,give,A,B2,Grammar
G48,mixed conditionals (past condition â†’ present result),"If she _____ more attention in her economics classes, she wouldn't be struggling with her finances now.",has paid,had paid,will pay,pays,B,C1,Grammar
G49,inversion for emphasis (negative adverbs),Never before _____ such a dramatic change in public opinion about climate policy.,we have seen,have we seen,we saw,we haven't seen,B,C1,Grammar
G50,inversion for emphasis (conditional inversion),"_____ the opportunity to study abroad, I would have accepted it immediately.",If I had offered,Had I been offered,If I would be offered,Should I be offered,B,C1,Grammar
G51,advanced modal verbs (speculation about past),The streets are completely dry. It _____ during the night after all.,can't have rained,mustn't rain,shouldn't have rained,needn't rain,A,C1,Grammar
G52,subjunctive mood (after verbs of demand),The committee insisted that every member _____ present at the emergency meeting.,were,has been,be,would be,C,C1,Grammar
G53,cleft sentences (it-cleft for emphasis),_____ Sarah who suggested we should meet at the coffee shop.,It was,There was,That was,She was,A,C1,Grammar
G54,cleft sentences (what-cleft for emphasis),_____ most about the course was the practical experience we gained.,That I appreciated,What I appreciated,Which I appreciated,I appreciated,B,C1,Grammar
G55,advanced participle clauses (perfect participle),"_____ to the landlord several times to complain about the noise, he finally agreed to speak to the tenants.",Going,Having been,Having went,There having been,B,C1,Grammar
